"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
51,200;33,61
51,250;33,67
51,300;33,73
51,350;33,73
51,400;33,77
51,450;33,80
51,500;33,86
51,550;34,05
51,600;34,18
51,650;34,66
51,700;35,31
51,750;35,66
51,800;36,27
51,850;36,62
51,900;37,10
51,950;37,39
52,000;37,71
52,050;38,16
52,100;38,38
52,150;38,77
52,200;39,12
52,250;39,47
52,300;39,70
52,350;40,05
52,400;40,34
52,450;40,56
52,500;40,76
52,550;40,66
52,600;40,60
52,650;40,56
52,700;40,44
52,750;40,37
52,800;40,24
52,850;40,18
52,900;40,15
52,950;40,12
53,000;40,12
53,050;40,12
53,100;40,08
53,150;40,12
53,200;40,15
53,250;40,15
53,300;40,15
53,350;40,18
53,400;40,12
53,450;40,05
53,500;40,05
53,550;39,99
53,600;39,86
53,650;39,83
53,700;39,79
53,750;39,83
53,800;39,89
53,850;39,89
53,900;39,96
53,950;40,05
54,000;40,05
54,050;39,96
54,100;39,92
54,150;39,96
54,200;39,96
54,250;40,02
54,300;40,08
54,350;40,24
54,400;40,28
54,450;40,24
54,500;40,15
54,550;40,15
54,600;40,18
54,650;40,12
54,700;40,18
54,750;40,28
54,800;40,28
54,850;40,28
54,900;40,24
54,950;40,18
55,000;40,15
55,050;40,12
55,100;40,15
55,150;40,12
55,200;40,18
55,250;40,21
55,300;40,21
55,350;40,18
55,400;40,21
55,450;40,12
55,500;40,15
55,550;40,08
55,600;40,08
55,650;40,05
55,700;40,05
55,750;40,12
55,800;40,05
55,850;40,15
55,900;40,08
55,950;40,05
56,000;40,02
56,050;40,02
56,100;39,99
56,150;40,02
56,200;40,05
56,250;40,05
56,300;40,05
56,350;40,08
56,400;40,12
56,450;40,02
56,500;40,12
56,550;40,15
56,600;40,15
56,650;40,18
56,700;40,21
56,750;40,12
56,800;40,21
56,850;40,18
56,900;40,15
56,950;40,15
57,000;40,15
57,050;40,12
57,100;40,12
57,150;40,12
57,200;40,12
57,250;40,18
57,300;40,12
57,350;40,08
57,400;40,08
57,450;40,05
57,500;40,02
57,550;40,15
57,600;40,24
57,650;40,15
57,700;39,99
57,750;40,12
57,800;40,02
57,850;39,92
57,900;39,96
57,950;39,99
58,000;40,08
58,050;39,99
58,100;40,08
58,150;40,12
58,200;40,15
58,250;40,18
58,300;40,18
58,350;40,12
58,400;40,12
58,450;40,15
58,500;40,08
58,550;40,15
58,600;40,18
58,650;40,18
58,700;40,21
58,750;40,21
58,800;40,18
58,850;40,18
58,900;40,28
58,950;40,18
59,000;40,15
59,050;40,12
59,100;40,12
59,150;40,12
59,200;40,21
59,250;40,15
59,300;40,24
59,350;40,15
59,400;40,15
59,450;40,18
59,500;40,12
59,550;40,18
59,600;40,21
59,650;40,18
59,700;40,12
59,750;40,15
59,800;40,08
59,850;40,08
59,900;40,05
59,950;40,08
60,000;40,12
60,050;40,15
60,100;40,15
60,150;40,18
60,200;40,18
60,250;40,18
60,300;40,15
60,350;40,12
60,400;40,08
60,450;40,08
60,500;40,05
60,550;40,05
60,600;40,05
60,650;40,08
60,700;40,15
60,750;40,12
60,800;40,08
60,850;40,12
60,900;40,08
60,950;39,99
61,000;40,02
61,050;40,08
61,100;40,05
61,150;40,12
61,200;40,15
61,250;40,15
61,300;40,15
61,350;40,05
61,400;40,08
61,450;40,05
61,500;40,05
61,550;40,15
61,600;40,18
61,650;40,28
61,700;40,53
61,750;40,85
61,800;41,17
61,850;41,53
61,900;41,72
61,950;42,04
62,000;42,23
62,050;42,52
62,100;42,94
62,150;43,29
62,200;43,61
62,250;43,93
62,300;44,06
62,350;44,22
62,400;44,44
62,450;44,67
62,500;44,96
62,550;45,28
62,600;45,50
62,650;45,79
62,700;45,95
62,750;46,14
62,800;46,24
62,850;46,46
62,900;46,59
62,950;46,62
63,000;46,85
63,050;47,01
63,100;46,85
63,150;46,75
63,200;46,62
63,250;46,59
63,300;46,56
63,350;46,53
63,400;46,59
63,450;46,59
63,500;46,62
63,550;46,62
63,600;46,66
63,650;46,56
63,700;46,50
63,750;46,59
63,800;46,56
63,850;46,59
63,900;46,62
63,950;46,66
64,000;46,72
64,050;46,69
64,100;46,66
64,150;46,62
64,200;46,66
64,250;46,62
64,300;46,62
64,350;46,59
64,400;46,59
64,450;46,69
64,500;46,62
64,550;46,62
64,600;46,56
64,650;46,53
64,700;46,53
64,750;46,53
64,800;46,53
64,850;46,59
64,900;46,62
64,950;46,66
65,000;46,69
65,050;46,69
65,100;46,66
65,150;46,69
65,200;46,69
65,250;46,75
65,300;46,85
65,350;46,91
65,400;46,85
65,450;46,82
65,500;46,75
65,550;46,66
65,600;46,59
65,650;46,69
65,700;46,69
65,750;46,69
65,800;46,69
65,850;46,72
65,900;46,69
65,950;46,72
66,000;46,75
66,050;46,72
66,100;46,69
66,150;46,72
66,200;46,69
66,250;46,62
66,300;46,66
66,350;46,69
66,400;46,66
66,450;46,66
66,500;46,66
66,550;46,62
66,600;46,59
66,650;46,66
66,700;46,75
66,750;46,75
66,800;46,72
66,850;46,75
66,900;46,69
66,950;46,69
67,000;46,69
67,050;46,66
67,100;46,66
67,150;46,66
67,200;46,69
67,250;46,72
67,300;46,75
67,350;46,75
67,400;46,75
67,450;46,69
67,500;46,66
67,550;46,66
67,600;46,62
67,650;46,59
67,700;46,62
67,750;46,59
67,800;46,62
67,850;46,66
67,900;46,66
67,950;46,66
68,000;46,66
68,050;46,66
68,100;46,62
68,150;46,62
68,200;46,59
68,250;46,62
68,300;46,59
68,350;46,62
68,400;46,62
68,450;46,62
68,500;46,56
68,550;46,56
68,600;46,56
68,650;46,59
68,700;46,59
68,750;46,62
68,800;46,62
68,850;46,66
68,900;46,69
68,950;46,62
69,000;46,62
69,050;46,62
69,100;46,62
69,150;46,62
69,200;46,59
69,250;46,59
69,300;46,56
69,350;46,56
69,400;46,66
69,450;46,69
69,500;46,72
69,550;46,66
69,600;46,62
69,650;46,62
69,700;46,66
69,750;46,62
69,800;46,56
69,850;46,53
69,900;46,50
69,950;46,50
70,000;46,50
70,050;46,53
70,100;46,56
70,150;46,59
70,200;46,59
70,250;46,62
70,300;46,62
70,350;46,66
70,400;46,66
70,450;46,66
70,500;46,66
70,550;46,62
70,600;46,59
70,650;46,59
70,700;46,66
70,750;46,66
70,800;46,69
70,850;46,72
70,900;46,72
70,950;46,75
71,000;46,85
71,050;47,01
71,100;47,14
71,150;47,33
71,200;47,46
71,250;47,65
71,300;47,84
71,350;48,26
71,400;48,84
71,450;49,22
71,500;49,70
71,550;50,18
71,600;50,63
71,650;51,02
71,700;51,47
71,750;51,92
71,800;52,24
71,850;52,46
71,900;52,53
71,950;52,49
72,000;52,59
72,050;52,94
72,100;53,29
72,150;53,46
72,200;53,46
72,250;53,42
72,300;53,39
72,350;53,33
72,400;53,26
72,450;53,26
72,500;53,23
72,550;53,29
72,600;53,29
72,650;53,33
72,700;53,46
72,750;53,39
72,800;53,36
72,850;53,33
72,900;53,20
72,950;53,20
73,000;53,23
73,050;53,26
73,100;53,26
73,150;53,26
73,200;53,29
73,250;53,29
73,300;53,39
73,350;53,29
73,400;53,26
73,450;53,23
73,500;53,17
73,550;53,13
73,600;53,20
73,650;53,23
73,700;53,23
73,750;53,13
73,800;53,13
73,850;53,07
73,900;53,07
73,950;53,13
74,000;53,13
74,050;53,17
74,100;53,13
74,150;53,17
74,200;53,20
74,250;53,17
74,300;53,20
74,350;53,26
74,400;53,29
74,450;53,26
74,500;53,26
74,550;53,26
74,600;53,29
74,650;53,33
74,700;53,39
74,750;53,36
74,800;53,33
74,850;53,39
74,900;53,39
74,950;53,36
75,000;53,33
75,050;53,33
75,100;53,33
75,150;53,29
75,200;53,33
75,250;53,33
75,300;53,33
75,350;53,29
75,400;53,29
75,450;53,26
75,500;53,23
75,550;53,23
75,600;53,29
75,650;53,33
75,700;53,33
75,750;53,33
75,800;53,26
75,850;53,26
75,900;53,26
75,950;53,26
76,000;53,29
76,050;53,26
76,100;53,26
76,150;53,26
76,200;53,23
76,250;53,20
76,300;53,20
76,350;53,20
76,400;53,17
76,450;53,17
76,500;53,17
76,550;53,20
76,600;53,26
76,650;53,42
76,700;53,49
76,750;53,49
76,800;53,49
76,850;53,42
76,900;53,39
76,950;53,39
77,000;53,39
77,050;53,39
77,100;53,39
77,150;53,39
77,200;53,42
77,250;53,42
77,300;53,46
77,350;53,46
