Tiempo (s) Serie Nº 1,N1,N2,N3,N4,N5,d.std,prom,error,,,
1.72,-,3.47,4.04,3.39,3.94,0.327515903,3.71,0.146469565,,,
1.73,-,3.4,3.96,3.39,3.89,0.307354302,3.66,0.137453022,,,
1.74,-,3.44,4.09,3.51,4.1,0.359119293,3.785,0.16060303,,,
1.75,-,3.46,3.99,3.56,4.04,0.295112973,3.7625,0.131978534,,,
1.76,-,3.66,4.2,3.76,4.19,0.283004711,3.9525,0.126563555,,,
1.77,-,3.52,4.05,3.75,4.29,0.337379608,3.9025,0.150880748,,,
1.78,-,3.71,4.18,3.88,4.4,0.307503388,4.0425,0.137519696,,,
1.79,-,3.62,4.21,3.94,4.38,0.332101892,4.0375,0.148520481,,,
1.8,-,3.57,4.25,3.97,4.47,0.388286836,4.065,0.173647152,,,
1.81,-,3.45,4.15,3.99,4.44,0.415722263,4.0075,0.185916648,,,
1.82,-,3.37,4.25,4.06,4.44,0.466547604,4.03,0.208646431,,,
1.83,-,3.37,4.21,4.14,4.47,0.473453623,4.0475,0.211734897,,,
1.84,-,3.51,4.24,4.22,4.44,0.407298007,4.1025,0.182149206,,,
1.85,-,3.57,4.23,4.3,4.57,0.424450625,4.1675,0.18982009,,,
1.86,-,3.59,4.31,4.29,4.44,0.384133223,4.1575,0.1717896,,,
1.87,-,3.59,4.37,4.29,4.61,0.43829214,4.215,0.196010204,,,
1.88,-,3.44,4.33,4.37,4.55,0.497619332,4.1725,0.222542131,,,
1.89,-,3.31,4.39,4.33,4.63,0.58455111,4.165,0.261419204,,,
1.9,-,3.26,4.39,4.34,4.64,0.61255612,4.1575,0.273943425,,,
1.91,-,3.2,4.42,4.32,4.67,0.651837147,4.1525,0.291510434,,,
1.92,-,3.16,4.47,4.31,4.67,0.677858146,4.1525,0.303147379,,,
1.93,-,3.05,4.39,4.31,4.7,0.728028159,4.1125,0.325584091,,,
1.94,-,2.99,4.25,4.27,4.67,0.729451849,4.045,0.326220784,,,
1.95,-,2.87,4.19,4.37,4.66,0.792354088,4.0225,0.35435152,,,
